Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,Url,Abstract Note,Date,Num Pages,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series Number,Publisher,place,Language,Library Catalog,Call Number,Extra,Link Attachments,Manual Tags,Automatic Tags,Contributor
KRZ6Y7HG,book,1999,"Barrier, J. Michael",Hollywood cartoons: American animation in its golden age,,978-0-19-503759-3,,,1999,648,,,,Hollywood cartoons,,Oxford University Press,New York,,Library Catalog (Blacklight),NC1766.U5 B37 1999,,https://catalog.libraries.psu.edu/catalog/1976407,,Animated films; United States,
8AVNJSVZ,book,2019,"Bashara, Daniel",Cartoon vision: UPA animation and postwar aesthetics,,978-0-520-29813-2 978-0-520-29814-9,,"""Cartoon Vision examines American animation alongside the modern design boom of the postwar era. Focusing especially on United Productions of American (UPA), a studio whose graphic, abstract style defined the postwar period, Daniel Bashara considers animation as a laboratory exploring new models of vision and space, tracing the links--both literal and aesthetic--between animators, architects, and designers developing a midcentury modernism that rigorously reimagined the senses. Invoking the American Bauhaus legacy of László Moholy-Nagy and György Kepes, Cartoon Vision advocates for animation's pivotal role in a utopian design project of retraining the public's vision to better apprehend a rapidly changing modern world""--Provided by publisher",2019,276,,,,Cartoon vision,,University of California Press,"Oakland, California",,Library Catalog (Blacklight),NC1766.U5 B38 2019,OCLC: 1050456585,https://catalog.libraries.psu.edu/catalog/25374633,,"History and criticism; Animated films; United States; Aesthetics; Art and motion pictures; Criticism, interpretation, etc; Motion pictures and architecture; United Productions of America",
T27V2UEV,book,2007,"Lehman, Christopher P.","The Colored cartoon: Black representation in American animated short films, 1907-1954",,978-1-55849-613-2,,,2007,137,,,,The Colored cartoon,,University of Massachusetts Press,Amherst,,Library Catalog (Blacklight),NC1766.U5 L442 2007,,https://catalog.libraries.psu.edu/catalog/4323398,,History and criticism; Animated films; United States; Black people in motion pictures,
JYKGD86N,book,2006,"Disney, Walt; Jackson, Kathy Merlock",Walt Disney: conversations,,978-1-57806-712-1 978-1-57806-713-8,,,2006,143,,,,Walt Disney,Conversations with comic artists,University Press of Mississippi,Jackson,,Library Catalog (Blacklight),NC1766.U52 D52 2006,OCLC: 59360033,https://catalog.libraries.psu.edu/catalog/3019464,,"United States; Animators; Disney, Walt; Interviews",
HPMC2NYF,book,2007,"Barrier, J. Michael",The animated man: a life of Walt Disney,,978-0-520-24117-6 978-0-520-25619-4,,"""Walt Disney (1901-1966) was one of the most significant creative forces of the twentieth century, a man who made a lasting impact on the art of the animated film, the history of American business, and the evolution of twentieth-century American culture. He was both a creative visionary and a dynamic entrepreneur, roles whose demands he often could not reconcile. In his compelling new biography, noted animation historian Michael Barrier avoids the well-traveled paths of previous biographers, who have tended to portray a blemish-free Disney or to indulge in lurid speculation. Instead, he takes the full measure of the man in his many aspects. A consummate storyteller, Barrier describes how Disney transformed himself from Midwestern farm boy to scrambling young businessman to pioneering artist and, finally, to entrepreneur on a grand scale. Barrier describes in absorbing detail how Disney synchronized sound with animation in Steamboat Willie; created in Snow White and the Seven Dwarfs sympathetic cartoon characters whose appeal rivaled that of the best live-action performers; grasped television's true potential as an unparalleled promotional device; and-not least-parlayed a backyard railroad into the Disneyland juggernaut.""--Publisher's description",2007,393,,,,The animated man,,University of California Press,Berkeley,,Library Catalog (Blacklight),NC1766.U52 D53155 2007,,https://catalog.libraries.psu.edu/catalog/4445968,,"United States; Animators; Disney, Walt; Animateurs (Cinéma); Animatiefilms; Biographie; Biographies; Biography; Disney; États-Unis; Verenigde Staten; Walt 1901-1966",
7V2NTGHA,book,1995,"Finch, Christopher",The art of Walt Disney: from Mickey Mouse to the Magic Kingdoms,,978-0-8109-1962-4,,,1995,451,,,,The art of Walt Disney,,Abrams,New York,,Library Catalog (Blacklight),NC1766.U52 D533 1995,,https://catalog.libraries.psu.edu/catalog/2170941,,"Disney, Walt; Walt Disney Productions",
95Y8XTJQ,book,2006,"Gabler, Neal",Walt Disney: the triumph of the American imagination,,978-0-679-43822-9,,,2006,851,,,,Walt Disney,,Knopf,New York,,Library Catalog (Blacklight),NC1766.U52 D5375 2006,,https://catalog.libraries.psu.edu/catalog/3437410,,"United States; Animators; Disney, Walt; Biography",
J5HFMSUR,book,2017,"Kratter, Tia",The color of Pixar,,978-1-4521-5920-1,,"""Bold and beautiful, this volume presents hundreds of film stills from the Pixar archives in a glorious spectrum of color. Starting with bright white images and seamlessly flowing through the colors of the rainbow, it becomes crystal clear how each frame tells a story. Bound into a gorgeous volume, The Color of Pixar encapsulates everything there is to love about the studio: the attention to detail, the playful characters, and the sheer scope of their work in over 20 years of iconic feature films""--",2017,348,,,,,,Chronicle Books,San Francisco,,Library Catalog (Blacklight),NC1766.U52 P58525 2017,OCLC: 967094467,https://catalog.libraries.psu.edu/catalog/21322254,,Animated films; United States; Animation (Cinematography); Caricatures and cartoons; PERFORMING ARTS / Animation; Pixar (Firm),
7LC6QUQW,book,2014,"Gutierrez, Jorge R.; Richardson, Mike; Hahn, Sierra; Cushing, Spencer",Art of the Book of Life,,978-1-61655-533-7,,"A tale packed with adventure, The Book of Life celebrates the power of friendship and family, and the courage to follow your dreams. To determine whether the heart of humankind is pure and good, two godlike beings engage in an otherworldly wager during Mexico's annual Day of the Dead celebration. They tether two friends, Manolo and Joaquin, into vying for the heart of the beautiful and fiercely independent Maria, with comical and sometimes dangerous consequences. This volume is an inspirational behind-the-scenes look at the making of the animated feature film The Book of Life, from visionary producer Guillermo del Toro (Pan's Labyrinth) and director Jorge R. Gutierrez (El Tigre: The Adventures of Manny Rivera)",2014,191,,,,,,Dark Horse Comics,"Milwaukie, Oregon",,Library Catalog (Blacklight),,OCLC: 876882755,https://catalog.libraries.psu.edu/catalog/13219986,,United States; Animation (Cinematography); Book of life (Motion picture); Pictorial works; Reel FX Productions ll; Twentieth Century Fox Film,
NTSLZPNZ,book,1997,"Cohen, Karl F.",Forbidden animation: censored cartoons and blacklisted animators in America,,978-0-7864-0395-0,,,1997,230,,,,Forbidden animation,,McFarland & Company,"Jefferson, NC",,Library Catalog (Blacklight),NC1766.5.C45 C64 1997,,https://catalog.libraries.psu.edu/catalog/1457725,,Animated films; United States; Animators; Biography; Censorship,
